Codigo,Nome,ID_Posto,Morada,Lat,Lon
119,Amadora - Rua de Angola,AMD-00109,"R de Angola, n13",38.7592396,-9.2438885
125,Loures,LRS-00147,R G. Lt1 Vinha GrandeAreeira,38.826667,-9.165278
127,Loures - Portela,LRS-00145,Qta da Vitória - R Vasco Gama,38.785164,-9.116781
129,Sintra - Tapada das Mercês,SNT-00192,Estrada de Mercês-Algueirão,38.800327,-9.325723
134,Sintra - Cacém,SNT-00193,Rua da Bela vista 31,38.7627609,-9.3070083
141,Odivelas - Caneças,ODV-00049,Estrada de Montemor,38.814444,-9.2149999
142,V.F.Xira-Póvoa Sta Iria,VFX-00098,"EN 10, km 134,7",38.852222,-9.074444
144,Vila Franca de Xira - Alverca,VFX-00097,R de Santa Maria,38.892095,-9.038755
149,Lisboa - Xabregas,LSB-00164,"R Bispo de Coxim, n1",38.725278,-9.112222
153,Cascais - Alcoitão,CSC-00127,"Av da República, n2562",38.7352133,-9.3977743
157,Salvaterra de Magos,SMG-00014,EN 118,39.0225342,-8.7939071
158,Sassoeiros,CSC-00128,"R Luis de Camões, n8",38.701667,-9.326944
159,Odivelas - Arroja,ODV-00048,Av das Acácias,38.7957222,-9.1987537
173,Lisboa - Av. Infante D. Henrique,LSB-00163,"Av Inf D Henrique, Lts. 17-18",38.7575001,-9.103611
174,Coruche,CCH-00017,"Quinta das Baleias, Lt18",38.961028,-8.520147
177,Oeiras - Algés,OER-00139,"R João Chagas, n130",38.706111,-9.238333
179,Sintra - Algueirão,SNT-00191,Casal Vale do Milho,38.804444,-9.356111
186,Sintra - Terrugem,SNT-00190,"Av 29 de Agosto, n80",38.844394,-9.375811
194,Mem Martins,SNT-00194,Rua da Liberdade,38.794697,-9.345844
197,Sintra - S.Pedro Penafirim,SNT-00201,Chão de Meninas,38.789167,-9.371389
199,S.DOMINGOS DE RANA,CSC-00424,Abóboda - R de Dr. José Joaquim,38.7214755,-9.3361099
212,MAFRA,MFR-00049,"Av. Francisco Sá Carneiro, n.º 2",38.943187,-9.325983
216,ERICEIRA,MFR-00052,Rua do Arrabalde,38.959146,-9.408792
226,CARNAXIDE,OER-00260,Rua do Proletariado,38.723611,-9.243333
235,LISBOA - TELHEIRAS,LSB-00994,Av Nações Unidas,38.764516,-9.167231
236,OEIRAS - PORTO SALVO,OER-00262,Lagoas Park - Estrada de Paço de Arcos,38.711904,-9.303975
241,QUELUZ,SNT-00191,Rua D. Pedro IV,38.750555,-9.261944
244,Torres Vedras,TVD-00062,Rua Principal - Casal da Areia,39.0975,-9.244722
246,Castanheira do Ribatejo,VFX-00115,Rua de Moçambique,38.991666,-8.977222
247,Azambuja,AZB-00008,Av. do Século,39.066922,-8.872741
252,Carregado,ALN-00010,"Estrada Nacional 3, km 1",39.013589,-8.98399
253,Alenquer,ALN-00011,"Rua de Olivença, Lt 1 a 4",39.052062,-9.011808
